sku,upc,prod_title,category,msrp_price,customer_price,qty_in_stock,description,brand,specification,images,pdfs
21M3000RUS,,"Lenovo ThinkPad E14 AMD Ryzen 5 7535U, 8 GB, 256 GB SSD | Business Laptop",Hardware,$712.18,$712.18,1,"Lenovo ThinkPad E14 AMD Ryzen 5 7535U, 8 GB, 256 GB SSD | Business Laptop",N/A,,https://a5it.com/product/lenovo-ts-e14-r5-7535u-8g-256g-11p/21M3000RUS,
21MW0002US,,Lenovo ThinkBook 16 G7 ARP Ryzen 5 7535HS 16 GB 512 GB | Business Laptop,Hardware,"$1,057.99","$1,057.99",1,Lenovo ThinkBook 16 G7 ARP Ryzen 5 7535HS 16 GB 512 GB | Business Laptop,N/A,,https://a5it.com/product/lenovo-ts-tb-16-r5-7535hs-16-512-11p/21MW0002US,
12TA000PUS,,"Lenovo ThinkCentre M75s Gen 5 Ryzen 5 PRO 8500G | Business Desktop, SFF",Hardware,$998.43,$998.43,1,"Lenovo ThinkCentre M75s Gen 5 Ryzen 5 PRO 8500G | Business Desktop, SFF",N/A,,https://a5it.com/product/lenovo-ts-m75s-g5-r5p8500g-16g-n-w11/12TA000PUS,
82JB003XUS,,"Lenovo 500e G3 Chromebook, N4500, 11.6"" Touch | Education, Rugged",Hardware,$355.43,$355.43,1,"Lenovo 500e G3 Chromebook, N4500, 11.6"" Touch | Education, Rugged",N/A,,https://a5it.com/product/lenovo-ts-tb-16-g8-c5-16g-512g-11p/21SH0001US,
GSM4230P-100NAS,,"NETGEAR M4250 GSM4230P-100NAS 26G4F PoE+ Managed Switch | AV, Enterprise",Hardware,"$1,319.99","$1,319.99",1,"NETGEAR M4250 GSM4230P-100NAS 26G4F PoE+ Managed Switch | AV, Enterprise",N/A,,https://a5it.com/product/netgear-m4250-26g4f-poe-plus-mngd-sw/GSM4230P-100NAS,
82JB003XUS,,"Lenovo 500e G3 Chromebook, N4500, 11.6"" Touch | Education, Rugged",Hardware,$355.43,$355.43,1,"Lenovo 500e G3 Chromebook, N4500, 11.6"" Touch | Education, Rugged",N/A,,https://a5it.com/product/lenovo-ts-500e-g3-n4500-4g-32g-crm/82JB003XUS,
RBE772-100NAS,,"Netgear ORBI7 TB WiFi 7 2-Pack RBE772-100NAS | Mesh, Tri-Band",Hardware,$593.37,$593.37,1,"Netgear ORBI7 TB WiFi 7 2-Pack RBE772-100NAS | Mesh, Tri-Band",N/A,,https://a5it.com/product/netgear-orbi7-tb-wifi7-2pk-bndl/RBE772-100NAS,
EAX12-100NAS,,"NETGEAR AX1600 WiFi 6 Mesh Extender EAX12-100NAS | Wi-Fi 6, Mesh",Hardware,$87.66,$87.66,1,"NETGEAR AX1600 WiFi 6 Mesh Extender EAX12-100NAS | Wi-Fi 6, Mesh",N/A,,https://a5it.com/product/netgear-ax1600-wifi-6-mesh-extender/EAX12-100NAS,
RS300-100NAS,,"Netgear Nighthawk RS300 WiFi 7 Router, BE9300 | Home Office, Wi‑Fi 7",Hardware,$327.04,$327.04,1,"Netgear Nighthawk RS300 WiFi 7 Router, BE9300 | Home Office, Wi‑Fi 7",N/A,,https://a5it.com/product/netgear-nighthawk-wifi-7-router/RS300-100NAS,
GSM4210PX-100NAS,,NETGEAR GSM4210PX-100NAS AV Line M4250 8G2XF PoE+ Switch | AV Rack,Hardware,$999.99,$999.99,1,NETGEAR GSM4210PX-100NAS AV Line M4250 8G2XF PoE+ Switch | AV Rack,N/A,,https://a5it.com/product/netgear-av-line-m4250-8g2xf-poe-plus/GSM4210PX-100NAS,
ZHR-00001,,"Microsoft Surface Laptop 7 15in 32GB 1TB Graphite | Copilot+ PC, Enterprise",Hardware,"$2,198.90","$2,198.90",1,"Microsoft Surface Laptop 7 15in 32GB 1TB Graphite | Copilot+ PC, Enterprise",N/A,,https://a5it.com/product/microsoft-lpt7-15-eli-32-1tb-graphite/ZHR-00001,
12TA000KUS,,Lenovo ThinkCentre M75s Gen 5 Ryzen 7 PRO 8700G | Business Desktop,Hardware,"$1,173.32","$1,173.32",1,Lenovo ThinkCentre M75s Gen 5 Ryzen 7 PRO 8700G | Business Desktop,N/A,,https://a5it.com/product/lenovo-ts-m75s-g5-r7p8700g-16g-11p/12TA000KUS,
GS752TPP-300NAS,,"NETGEAR GS752TPP-300NAS 52-Port PoE+ Smart Switch | Gigabit, 4 SFP",Hardware,$979.99,$979.99,1,"NETGEAR GS752TPP-300NAS 52-Port PoE+ Smart Switch | Gigabit, 4 SFP",N/A,,https://a5it.com/product/lenovo-ts-100e-g4-n100-4g-32g-crm/83G80000US,
21SH000FUS,,Lenovo ThinkBook 16 G8 IRL Core 5 210H 16 GB 256 GB | Business Laptop,Hardware,$915.03,$915.03,1,Lenovo ThinkBook 16 G8 IRL Core 5 210H 16 GB 256 GB | Business Laptop,N/A,,https://a5it.com/product/netgear-16port-poe-poe-gigabit-unmngd/GS116LP-100NAS,
GS752TPP-300NAS,,"NETGEAR GS752TPP-300NAS 52-Port PoE+ Smart Switch | Gigabit, 4 SFP",Hardware,$979.99,$979.99,1,"NETGEAR GS752TPP-300NAS 52-Port PoE+ Smart Switch | Gigabit, 4 SFP",N/A,,https://a5it.com/product/netgear-netgear-52pt-ge-poe-smart-swi/GS752TPP-300NAS,
21SH000FUS,,Lenovo ThinkBook 16 G8 IRL Core 5 210H 16 GB 256 GB | Business Laptop,Hardware,$915.03,$915.03,1,Lenovo ThinkBook 16 G8 IRL Core 5 210H 16 GB 256 GB | Business Laptop,N/A,,https://a5it.com/product/lenovo-ts-tb-16-g8-c5-16g-256g-11p/21SH000FUS,
WAX610Y-100NAS,,"Netgear WAX610Y WiFi 6 Outdoor AP | AX1800, Insight Managed, Enterprise",Hardware,$219.99,$219.99,1,"Netgear WAX610Y WiFi 6 Outdoor AP | AX1800, Insight Managed, Enterprise",N/A,,https://a5it.com/product/netgear-wifi-6-outdoor-ap-insight-mgd/WAX610Y-100NAS,
GS748T-600NAS,,Netgear GS748T-600NAS 48-Port Smart Managed Switch | Gigabit,Hardware,$429.99,$429.99,1,Netgear GS748T-600NAS 48-Port Smart Managed Switch | Gigabit,N/A,,https://a5it.com/product/netgear-48p-ge-smart-mngd-pro-swch/GS748T-600NAS,
GSM4230UP-100NAS,,"Netgear M4250 GSM4230UP-100NAS 26-Port PoE++ Switch | AV, Managed, 10G",Hardware,"$2,639.99","$2,639.99",1,"Netgear M4250 GSM4230UP-100NAS 26-Port PoE++ Switch | AV, Managed, 10G",N/A,,https://a5it.com/product/netgear-m4250-26g4f-poe-plus-plus-mn-s/GSM4230UP-100NAS,
GS316EP-100NAS,,NETGEAR GS316EP-100NAS 16-Port PoE+ Gigabit Switch | 180 W Budget,Hardware,$239.99,$239.99,1,NETGEAR GS316EP-100NAS 16-Port PoE+ Gigabit Switch | 180 W Budget,N/A,,https://a5it.com/product/netgear-16-port-poe-plus-gigabit-plus/GS316EP-100NAS,
